verzija,leto
2.0 Automatic,1984
2.0 Automatic,1985
2.0 Automatic,1986
2.0 GTX Type 2,1980
2.0 GTX Type 2,1981
2.0 GTX Type 2,1982
2.0 GTX Type 2,1983
2.0 GTX Type 2,1984
2.0 GTX Type 2,1985
2.0 GTX Type 2,1986
2.0 TX/GTX,1983
2.0 TX/GTX,1984
2.0 TX/GTX,1985
2.0 TX/GTX,1986
TD/GTD,1984
TD/GTD,1985
TD/GTD,1986
TL Break,1978
TS Break 5-Speed,1978
TS Break,1978
Turbo-D Type 2,1981
Turbo-D Type 2,1982
Turbo-D Type 2,1983
Turbo-D Type 2,1984
Turbo-D Type 2,1985
Turbo-D Type 2,1986
Turbo Type 2,1983
Turbo Type 2,1984
Turbo Type 2,1985
Turbo,1980
Turbo,1981
Turbo,1982
Turbo,1983
1.8 16v,1992
1.8 16v,1993
1.8 16v,1994
1.8 16v,1995
1.8 RSi,1995
1.8 RSi,1996
1.8,1992
1.8,1993
1.8,1994
1.8,1995
1.8,1996
1.4 TR/GTR,1989
1.4 TR/GTR,1990
1.4 TR/GTR,1991
1.4 TR/GTR,1992
1.4 TS/GTS Energy,1989
1.4 TS/GTS Energy,1990
1.7 GTX/TXE,1989
1.7 GTX/TXE,1990
1.7 GTX/TXE,1991
1.7 GTX/TXE,1992
1.7 TS/GTS,1989
1.7 TS/GTS,1990
1.7 TS/GTS,1991
1.7 TS/GTS,1992
16v,1990
16v,1991
16v,1992
TD/GTD,1989
TD/GTD,1990
TD/GTD,1991
TD/GTD,1992
Turbo D,1991
Turbo D,1992
Alfa Romeo 1900 Berlina,1950
Super,1954
AR 51 La Matta,1952
Inter,1950
Inter,1951
Sport,1950
Sport,1951
1.25,2002
1.25,2003
1.25,2004
1.25,2005
1.25,2006
1.25,2007
1.4 CRTD,2002
1.4 CRTD,2003
1.4 CRTD,2004
1.4 CRTD,2005
1.4 CRTD,2006
1.4 CRTD,2007
1.4,2003
1.4,2004
1.4,2005
1.4,2006
1.4,2007
1.6,2002
1.6,2003
1.6,2004
1.6,2005
1.6,2006
1.6,2007
1.5 SKYACTIV-D 105HP Luxury,2015
1.5 SKYACTIV-D 105HP Luxury,2016
1.5 SKYACTIV-D 105HP Luxury,2017
1.5 SKYACTIV-D 105HP Luxury,2018
1.5 SKYACTIV-D 105HP Luxury,2019
1.5 SKYACTIV-D 105HP Style+ Confort,2015
1.5 SKYACTIV-D 105HP Style+ Confort,2016
1.5 SKYACTIV-D 105HP Style+ Confort,2017
1.5 SKYACTIV-D 105HP Style+ Confort,2018
1.5 SKYACTIV-D 105HP Style+ Confort,2019
1.5 SKYACTIV-D 105HP Style+,2015
1.5 SKYACTIV-D 105HP Style+,2016
1.5 SKYACTIV-D 105HP Style+,2017
1.5 SKYACTIV-D 105HP Style+,2018
1.5 SKYACTIV-D 105HP Style+,2019
1.5 SKYACTIV-G 75HP Style+ Confort,2015
1.5 SKYACTIV-G 75HP Style+ Confort,2016
1.5 SKYACTIV-G 75HP Style+ Confort,2017
1.5 SKYACTIV-G 75HP Style+ Confort,2018
1.5 SKYACTIV-G 75HP Style+ Confort,2019
1.5 SKYACTIV-G 75HP Style+,2015
1.5 SKYACTIV-G 75HP Style+,2016
1.5 SKYACTIV-G 75HP Style+,2017
1.5 SKYACTIV-G 75HP Style+,2018
1.5 SKYACTIV-G 75HP Style+,2019
1.5 SKYACTIV-G 75HP Style,2015
1.5 SKYACTIV-G 75HP Style,2016
1.5 SKYACTIV-G 75HP Style,2017
1.5 SKYACTIV-G 75HP Style,2018
1.5 SKYACTIV-G 75HP Style,2019
1.5 SKYACTIV-G 90HP Auto Luxury,2015
1.5 SKYACTIV-G 90HP Auto Luxury,2016
1.5 SKYACTIV-G 90HP Auto Luxury,2017
1.5 SKYACTIV-G 90HP Auto Luxury,2018
1.5 SKYACTIV-G 90HP Auto Luxury,2019
1.5 SKYACTIV-G 90HP Luxury,2015
1.5 SKYACTIV-G 90HP Luxury,2016
1.5 SKYACTIV-G 90HP Luxury,2017
1.5 SKYACTIV-G 90HP Luxury,2018
1.5 SKYACTIV-G 90HP Luxury,2019
1.5 SKYACTIV-G 90HP Style+ Confort,2015
1.5 SKYACTIV-G 90HP Style+ Confort,2016
1.5 SKYACTIV-G 90HP Style+ Confort,2017
1.5 SKYACTIV-G 90HP Style+ Confort,2018
1.5 SKYACTIV-G 90HP Style+ Confort,2019
3-doors Active 1.3 75HP,2010
3-doors Active 1.3 75HP,2011
3-doors Active 1.3 75HP,2012
3-doors Active 1.3 75HP,2013
3-doors Active 1.3 75HP,2014
3-doors Active 1.3 75HP,2015
3-doors Sportive 1.5 103HP,2010
3-doors Sportive 1.5 103HP,2011
3-doors Sportive 1.5 103HP,2012
3-doors Sportive 1.5 103HP,2013
3-doors Sportive 1.5 103HP,2014
3-doors Sportive 1.5 103HP,2015
3-doors Sportive 1.6 CRTD 90HP,2010
3-doors Sportive 1.6 CRTD 90HP,2011
3-doors Sportive 1.6 CRTD 90HP,2012
3-doors Sportive 1.6 CRTD 90HP,2013
3-doors Sportive 1.6 CRTD 90HP,2014
3-doors Sportive 1.6 CRTD 90HP,2015
3-doors Style 1.3 86HP,2010
3-doors Style 1.3 86HP,2011
3-doors Style 1.3 86HP,2012
3-doors Style 1.3 86HP,2013
3-doors Style 1.3 86HP,2014
3-doors Style 1.3 86HP,2015
3-doors Style 1.4 CRTD 68HP,2010
3-doors Style 1.4 CRTD 68HP,2011
3-doors Style 1.4 CRTD 68HP,2012
3-doors Style 1.4 CRTD 68HP,2013
3-doors Style 1.4 CRTD 68HP,2014
3-doors Style 1.4 CRTD 68HP,2015
3-doors Style 1.6 CRTD 90HP,2010
3-doors Style 1.6 CRTD 90HP,2011
3-doors Style 1.6 CRTD 90HP,2012
3-doors Style 1.6 CRTD 90HP,2013
3-doors Style 1.6 CRTD 90HP,2014
3-doors Style 1.6 CRTD 90HP,2015
5-doors Active 1.3 75HP,2010
5-doors Active 1.3 75HP,2011
5-doors Active 1.3 75HP,2012
5-doors Active 1.3 75HP,2013
5-doors Active 1.3 75HP,2014
5-doors Active 1.3 75HP,2015
5-doors Sportive 1.5 103HP,2010
5-doors Sportive 1.5 103HP,2011
5-doors Sportive 1.5 103HP,2012
5-doors Sportive 1.5 103HP,2013
5-doors Sportive 1.5 103HP,2014
5-doors Sportive 1.5 103HP,2015
5-doors Sportive 1.6 CRTD 90HP,2010
5-doors Sportive 1.6 CRTD 90HP,2011
5-doors Sportive 1.6 CRTD 90HP,2012
5-doors Sportive 1.6 CRTD 90HP,2013
5-doors Sportive 1.6 CRTD 90HP,2014
5-doors Sportive 1.6 CRTD 90HP,2015
5-doors Style 1.3 86HP,2010
5-doors Style 1.3 86HP,2011
5-doors Style 1.3 86HP,2012
5-doors Style 1.3 86HP,2013
5-doors Style 1.3 86HP,2014
5-doors Style 1.3 86HP,2015
5-doors Style 1.4 CRTD 68HP,2010
5-doors Style 1.4 CRTD 68HP,2011
5-doors Style 1.4 CRTD 68HP,2012
5-doors Style 1.4 CRTD 68HP,2013
5-doors Style 1.4 CRTD 68HP,2014
5-doors Style 1.4 CRTD 68HP,2015
5-doors Style 1.6 CRTD 90HP,2010
5-doors Style 1.6 CRTD 90HP,2011
5-doors Style 1.6 CRTD 90HP,2012
5-doors Style 1.6 CRTD 90HP,2013
5-doors Style 1.6 CRTD 90HP,2014
5-doors Style 1.6 CRTD 90HP,2015
Iruka 1.3 75HP,2014
Iruka 1.3 75HP,2015
Sakura 1.3 75HP,2014
Sakura 1.3 75HP,2015
SKYACTIV-D 1.5 105HP,2014
SKYACTIV-D 1.5 105HP,2015
SKYACTIV-D 1.5 105HP,2016
SKYACTIV-D 1.5 105HP,2017
SKYACTIV-D 1.5 105HP,2018
SKYACTIV-D 1.5 105HP,2019
SKYACTIV-G 1.5 115HP i-ELOOP,2014
SKYACTIV-G 1.5 115HP i-ELOOP,2015
SKYACTIV-G 1.5 115HP i-ELOOP,2016
SKYACTIV-G 1.5 115HP i-ELOOP,2017
SKYACTIV-G 1.5 115HP i-ELOOP,2018
SKYACTIV-G 1.5 115HP i-ELOOP,2019
SKYACTIV-G 1.5 90HP Auto,2014
SKYACTIV-G 1.5 90HP Auto,2015
SKYACTIV-G 1.5 90HP Auto,2016
SKYACTIV-G 1.5 90HP Auto,2017
SKYACTIV-G 1.5 90HP Auto,2018
SKYACTIV-G 1.5 90HP Auto,2019
SKYACTIV-G 1.5 90HP,2014
SKYACTIV-G 1.5 90HP,2015
SKYACTIV-G 1.5 90HP,2016
SKYACTIV-G 1.5 90HP,2017
SKYACTIV-G 1.5 90HP,2018
SKYACTIV-G 1.5 90HP,2019
SkyActiv-G 75,2021
SkyActiv-G 90 Auto,2021
SkyActiv-G 90,2021
Maserati 2.24v,1988
Maserati 2.24v,1989
Maserati 2.24v,1990
Maserati 2.24v,1991
Maserati 2.24v,1992
1.6 TL,1977
1.6 TL,1978
1.6 TL,1979
1.6 TL,1980
1.6 TL,1981
1.6 TL,1982
1.6 TL,1983
1.6 TL,1984
2.0 LS/TS,1977
2.0 LS/TS,1978
2.0 LS/TS,1979
2.0 LS/TS,1980
2.0 LS/TS,1981
2.0 LS/TS,1982
2.0 LS/TS,1983
2.0 LS/TS,1984
2.2 TX,1980
2.2 TX,1981
2.2 TX,1982
2.2 TX,1983
2.2 TX,1984
TD/GTD,1980
TD/GTD,1981
TD/GTD,1982
TD/GTD,1983
TD/GTD,1984
2.2 l,1984
2.2 l,1985
2.2 l,1986
2.2 l,1987
2.2 l,1988
2.2l Turbo Quattro 20v,1989
2.2l Turbo Quattro 20v,1990
2.2l Turbo Quattro 20v,1991
2.2l Turbo Quattro,1989
2.2l Turbo Quattro,1990
2.2l Turbo Quattro,1991
2.2l Turbo,1989
2.2l Turbo,1990
2.2l Turbo,1991
2.4 LX,2010
2.4 Touring,2010
3.6 Touring,2010
5/E,1980
5/E,1981
5/E,1982
5/T,1980
5/T,1981
5/T,1982
214,1992
214,1993
214,1994
214,1995
216,1993
216,1994
216,1995
216,1996
1.3,1985
1.3,1986
1.3,1987
1.3,1988
1.3,1989
1.3,1990
1.6 EFi,1985
1.6 EFi,1986
1.6 EFi,1987
1.6 EFi,1988
1.6 EFi,1989
1.6 EFi,1990
1.6,1985
1.6,1986
1.6,1987
1.6,1988
1.6,1989
214 Si,1993
214 Si,1994
214 Si,1995
214 Si,1996
214i,1993
214i,1994
214i,1995
214i,1996
216 GSi,1990
216 GSi,1991
216 GSi,1992
216 GSi,1993
216 GSi,1994
218 GSD Turbo,1991
218 GSD Turbo,1992
218 GSD Turbo,1993
214 Si,1993
214 Si,1994
214 Si,1995
214i,1993
214i,1994
214i,1995
216 GTi,1991
216 GTi,1992
220 GSi,1994
220 GSi,1995
220 GTI,1992
220 GTI,1993
220 GTI,1994
216,1993
216,1994
220 Turbo,1993
220 Turbo,1994
220,1994
220,1995
220,1996
200 BRM,1998
200 BRM,1999
200Vi,1996
200Vi,1997
200Vi,1998
200Vi,1999
214 Si,1996
214 Si,1997
214 Si,1998
214 Si,1999
214i,1996
214i,1997
214i,1998
214i,1999
216,1999
220 D,1996
220 D,1997
220 D,1998
220 D,1999
220 TD,1998
220 TD,1999
1.8 Turbo,1989
1.8 Turbo,1990
1.8 Turbo,1991
1.8 Turbo,1992
1.8 Turbo,1993
1.8 Turbo,1994
2.0 Turbo,1994
2.0 Turbo,1995
2.0 Turbo,1996
2.0 Turbo,1997
2.0 Turbo,1999
2.0 Turbo,2000
2.0 Turbo,2001
2.0 Turbo,2002
Berlina,1958
Alfa Romeo 2000 Berlina,1970
SA,1970
Alfa Romeo 2000 Sportiva Coupe,1954
BMW 2000 TI Coupe,1968
BMW 2004,1973
1.2 e-VTi 82 CMP Blue Lion Allure,2013
1.2 PureTech 100,2019
1.2 PureTech 100,2020
1.2 PureTech 100,2021
1.2 PureTech 110 Active,2015
1.2 PureTech 110 Allure,2015
1.2 PureTech 110 Crossway,2015
1.2 PureTech 110 Style,2016
1.2 PureTech 130 Allure,2015
1.2 PureTech 130 Auto,2019
1.2 PureTech 130 Auto,2020
1.2 PureTech 130 Auto,2021
1.2 PureTech 130 Crossway,2015
1.2 PureTech 130,2019
1.2 PureTech 130,2020
1.2 PureTech 130,2021
1.2 PureTech 82 Access,2015
1.2 PureTech 82 Active,2015
1.2 PureTech 82 ETG5 Active,2015
1.2 PureTech 82 Style,2016
1.2 VTi 82 Access,2013
1.2 VTi 82 Active,2013
1.2 VTi 82 Allure,2013
1.4 HDi 68 Active,2013
1.5 BlueHDI 100 Auto,2019
1.5 BlueHDI 100 Auto,2020
1.5 BlueHDI 100 Auto,2021
1.5 BlueHDI 100,2019
1.5 BlueHDI 100,2020
1.5 BlueHDI 100,2021
1.5 BlueHDi 110,2021
1.5 BlueHDi 130,2021
1.6 BlueHDi 100 Active,2015
1.6 BlueHDi 100 Allure,2015
1.6 BlueHDi 100 Crossway,2015
1.6 BlueHDi 100 Style,2016
1.6 BlueHDi 120 Allure,2015
1.6 BlueHDi 120 Crossway,2015
1.6 e-HDi 115 Allure,2013
1.6 e-HDi 115 Feline Cuivre,2013
1.6 e-HDi 115 Feline Titane,2013
1.6 e-HDi 92 Active,2013
1.6 e-HDi 92 Allure,2013
1.6 e-HDi 92 CMP Active,2013
1.6 e-HDi 92 CMP Blue Lion Allure,2013
1.6 e-HDi 92 ETG6 Active,2013
1.6 e-HDi 92 Feline Cuivre,2013
1.6 e-HDi 92 Feline Titane,2013
1.6 VTi 120 Allure,2013
1.6 VTi 120 Feline Titane,2013
e-2008 EV 50kWh 136 Active,2019
e-2008 EV 50kWh 136 Active,2020
e-2008 EV 50kWh 136 Active,2021
e-2008 EV 50kWh 136 Allure,2019
e-2008 EV 50kWh 136 Allure,2020
e-2008 EV 50kWh 136 Allure,2021
e-2008 GT EV 50kWh 136,2019
e-2008 GT EV 50kWh 136,2020
e-2008 GT EV 50kWh 136,2021
GT 1.2 PureTech 155,2019
GT 1.2 PureTech 155,2020
GT 1.2 PureTech 155,2021
1.0 GL,1987
1.0 GL,1988
1.0 GL,1989
1.0 GL,1990
1.0 GL,1991
1.0 GL,1992
1.1 GL - GR - XR,1983
1.1 GL - GR - XR,1984
1.1 GL - GR - XR,1985
1.1 GL - GR - XR,1986
1.1 GL - GR - XR,1987
1.1 XR - GR,1987
1.1 XR - GR,1988
1.1 XR - GR,1989
1.1i GL - XR - GR,1994
1.1i GL - XR - GR,1995
1.1i GL - XR - GR,1996
1.1i XR - GR,1989
1.1i XR - GR,1990
1.1i XR - GR,1991
1.1i XR - GR,1992
1.1i XR - GR,1993
1.1i XR - GR,1994
1.1i XR - GR,1995
1.1i XR - GR,1996
1.4 SR,1983
1.4 SR,1984
1.4 SR,1985
1.4 SR,1986
1.4 SR,1987
1.4 XR - GR,1989
1.4 XR - GR,1990
1.4 XR - GR,1991
1.4 XR - GR,1992
1.4 XR - GR,1993
1.4i XR - GR - XS,1994
1.4i XR - GR - XS,1995
1.4i XR - GR - XS,1996
1.6 GTI 105,1984
1.6 GTI 105,1985
1.6 GTI 105,1986
1.6 GTI 105,1987
1.6i Auto,1991
1.6i Auto,1992
1.6i Auto,1993
1.6i Auto,1994
1.6i Auto,1995
1.6i XR - GR - XS,1992
1.6i XR - GR - XS,1993
1.8 D GR - SR,1992
1.8 D GR - SR,1993
1.8 D GR - SR,1994
1.8 D GR - SR,1995
1.8 D GR - SR,1996
1.1i,1989
1.1i,1990
1.1i,1991
1.1i,1992
1.1i,1993
1.1i,1994
1.4 CJ,1987
1.4 CJ,1988
1.4i CJ,1993
1.4i CJ,1994
1.6 CTI,1987
1.6 CTI,1988
1.6 CTI,1989
1.6 CTI,1990
1.9 CTI,1990
1.9 CTI,1991
1.9 CTI,1992
1.9 CTI,1993
1.9 CTI,1994
GRD - SRD - (GLD),1983
GRD - SRD - (GLD),1984
GRD - SRD - (GLD),1985
GRD - SRD - (GLD),1986
GRD - SRD - (GLD),1987
GRD - SRD - (GLD),1988
GRD - SRD - (GLD),1989
GRD - SRD - (GLD),1990
GRD - SRD - (GLD),1991
GRD - SRD - (GLD),1992
GRD - SRD - (GLD),1993
GT,1983
GT,1984
GT,1985
GT,1986
GT,1987
GTI 1.9 Cat.,1990
GTI 1.9 Cat.,1991
GTI 1.9 Cat.,1992
GTI 1.9 Cat.,1993
GTI 1.9 Cat.,1994
GTI 1.9,1986
GTI 1.9,1987
GTI 1.9,1988
GTI 1.9,1989
GTI 1.9,1990
GTI 1.9,1991
GTI 1.9,1992
GTI 1.9,1993
Rallye,1988
Rallye,1989
Rallye,1990
Rallye,1991
Rallye,1992
Turbo 16,1984
Turbo 16,1985
Turbo 16,1986
Turbo D,1992
Turbo D,1993
Turbo D,1994
Turbo D,1995
Turbo D,1996
3doors 1.1i 60,2010
3doors 1.1i 60,2011
3doors 1.1i 60,2012
3doors 1.1i 60,2013
3doors 1.4 HDi 70,2010
3doors 1.4 HDi 70,2011
3doors 1.4 HDi 70,2012
3doors 1.4 HDi 70,2013
3doors 1.4i 75,2010
3doors 1.4i 75,2011
3doors 1.4i 75,2012
3doors 1.4i 75,2013
3doors Generation 1.1i 60,2012
3doors Generation 1.1i 60,2013
3doors Generation 1.4 HDi 70,2012
3doors Generation 1.4 HDi 70,2013
3doors Generation 1.4i 75,2012
3doors Generation 1.4i 75,2013
5doors 1.1i 60,2010
5doors 1.1i 60,2011
5doors 1.1i 60,2012
5doors 1.1i 60,2013
5doors 1.4 HDi 70,2010
5doors 1.4 HDi 70,2011
5doors 1.4 HDi 70,2012
5doors 1.4 HDi 70,2013
5doors 1.4i 75,2010
5doors 1.4i 75,2011
5doors 1.4i 75,2012
5doors 1.4i 75,2013
5doors Generation 1.1i 60,2012
5doors Generation 1.1i 60,2013
5doors Generation 1.4 HDi 70,2012
5doors Generation 1.4 HDi 70,2013
5doors Generation 1.4i 75,2012
5doors Generation 1.4i 75,2013
1.1 XR - XT,2002
1.1 XR - XT,2003
1.1 XR - XT,2004
1.1 XR - XT,2005
1.4 16v XT - XS,2003
1.4 16v XT - XS,2004
1.4 16v XT - XS,2005
1.4 16v XT - XS,2006
1.4 Auto XR - XT - RG,2002
1.4 Auto XR - XT - RG,2003
1.4 Auto XR - XT - RG,2004
1.4 Auto XR - XT - RG,2005
1.4 HDI XR - XT,2002
1.4 HDi,2002
1.4 XR - XT - XS - RG,2002
1.4 XR - XT - XS - RG,2003
1.4 XR - XT - XS - RG,2004
1.4 XR - XT - XS - RG,2005
1.4i,1998
1.6 HDI XT - XS,2004
1.6 HDI XT - XS,2005
1.6 HDI XT - XS,2006
1.6 XT - XS,1998
1.6 XT - XS,1999
1.6 XT - XS,2000
1.6 XT - XS,2001
1.6 XT - XS,2002
1.9 D XA - XR - XT,1998
1.9 D XA - XR - XT,1999
1.9 D XA - XR - XT,2000
1.9 D XA - XR - XT,2001
1.9 D XA - XR - XT,2002
2.0 HDI XT - XS,2002
2.0 HDI XT - XS,2003
2.0 HDI XT - XS,2004
2.0 HDI XT - XS,2005
1.6 HDi,2005
1.6 HDi,2006
1.6 HDi,2007
1.6 HDi,2008
1.6i,2001
1.6i,2002
1.6i,2003
1.6i,2004
1.6i,2005
1.6i,2006
1.6i,2007
1.6i,2008
2.0i,2001
2.0i,2002
2.0i,2003
2.0i,2004
2.0i,2005
2.0i,2006
2.0i,2007
2.0i,2008
GTI 1.6 16v,2002
GTI 1.6 16v,2003
GTI 1.6 16v,2004
GTI 1.6 16v,2005
GTI 2.0 16v,2002
GTI 2.0 16v,2003
GTI 2.0 16v,2004
GTI 2.0 16v,2005
RC,2003
RC,2004
RC,2005
RC,2006
1.1 XR - XT,2002
1.1 XR - XT,2003
1.1 XR - XT,2004
1.1 XR - XT,2005
1.1 XR - XT,2006
1.4 16v,2003
1.4 16v,2004
1.4 16v,2005
1.4 16v,2006
1.4 HDI,2002
1.4 HDI,2003
1.4 HDI,2004
1.4 HDI,2005
1.4 HDI,2006
1.4 HDI,2007
1.4 XR - XT - XS,2002
1.4 XR - XT - XS,2003
1.4 XR - XT - XS,2004
1.4 XR - XT - XS,2005
1.4 XR - XT - XS,2006
1.4 XR - XT - XS,2007
1.6 HDI,2004
1.6 HDI,2005
1.6 HDI,2006
1.6 HDI,2007
2.0 16v,2002
2.0 16v,2003
2.0 16v,2004
2.0 16v,2005
2.0 HDI,2002
2.0 HDI,2003
2.0 HDI,2004
2.0 HDI,2005
3d 1.4 HDi,2013
3d 1.4i,2013
5d 1.4 HDi,2013
5d 1.4i,2013
1.4 HDi,2006
1.4 HDi,2007
1.4 HDi,2008
1.4 HDi,2009
1.4i 16v,2006
1.4i 16v,2007
1.4i 16v,2008
1.4i 16v,2009
1.4i,2006
1.4i,2007
1.4i,2008
1.4i,2009
1.6 HDi 110,2006
1.6 HDi 110,2007
1.6 HDi 110,2008
1.6 HDi 110,2009
1.6 HDi 90,2006
1.6 HDi 90,2007
1.6 HDi 90,2008
1.6 HDi 90,2009
1.6i 16v,2006
1.6i 16v,2007
1.6i 16v,2008
1.6i 16v,2009
3p Access 1.4 HDi 70 FAP,2009
3p Access 1.4 HDi 70 FAP,2010
3p Access 1.4 HDi 70 FAP,2011
3p Access 1.4 HDi 70 FAP,2012
3p Access 1.4 HDi 70 FAP,2013
3p Access 1.4 HDi 70 FAP,2014
3p Access 1.4i 75,2009
3p Access 1.4i 75,2010
3p Access 1.4i 75,2011
3p Access 1.4i 75,2012
3p Access 1.4i 75,2013
3p Access 1.4i 75,2014
3p Active 1.4 HDi 70 FAP,2009
3p Active 1.4 HDi 70 FAP,2010
3p Active 1.4 HDi 70 FAP,2011
3p Active 1.4 HDi 70 FAP,2012
3p Active 1.4 HDi 70 FAP,2013
3p Active 1.4 HDi 70 FAP,2014
3p Active 1.4 VTi 95,2009
3p Active 1.4 VTi 95,2010
3p Active 1.4 VTi 95,2011
3p Active 1.4 VTi 95,2012
3p Active 1.4 VTi 95,2013
3p Active 1.4 VTi 95,2014
3p Active 1.4i 75,2009
3p Active 1.4i 75,2010
3p Active 1.4i 75,2011
